ParentTableSchemaName	ParentTableName	ParentKeyColumnName	ChildTableSchemaName	ChildTableName	ChildKeyColumnName	ChildKeyColumnIsNullable	KeyName	ForeignKeySql
dbo	Organization	OrganizationID	dbo	ReclamationAgreement	OrganizationID	True		alter table dbo.ReclamationAgreement add constraint FK_ReclamationAgreement_Organization_OrganizationID_TenantID foreign key (OrganizationID, TenantID) references dbo.Organization(OrganizationID, TenantID)
dbo	ReclamationAgreement	ReclamationAgreementID	dbo	ReclamationAgreementPacificNorthActivity	ReclamationAgreementID	False		alter table dbo.ReclamationAgreementPacificNorthActivity add constraint FK_ReclamationAgreementPacificNorthActivity_ReclamationAgreement_ReclamationAgreementID_TenantID foreign key (ReclamationAgreementID, TenantID) references dbo.ReclamationAgreement(ReclamationAgreementID, TenantID)
dbo	Project	ProjectID	dbo	ReclamationAgreementProject	ProjectID	False		alter table dbo.ReclamationAgreementProject add constraint FK_ReclamationAgreementProject_Project_ProjectID_TenantID foreign key (ProjectID, TenantID) references dbo.Project(ProjectID, TenantID)
dbo	ReclamationAgreement	ReclamationAgreementID	dbo	ReclamationAgreementProject	ReclamationAgreementID	False		alter table dbo.ReclamationAgreementProject add constraint FK_ReclamationAgreementProject_ReclamationAgreement_ReclamationAgreementID_TenantID foreign key (ReclamationAgreementID, TenantID) references dbo.ReclamationAgreement(ReclamationAgreementID, TenantID)
dbo	ReclamationAgreement	ReclamationAgreementID	dbo	ReclamationAgreementReclamationCostAuthority	ReclamationAgreementID	False		alter table dbo.ReclamationAgreementReclamationCostAuthority add constraint FK_ReclamationAgreementReclamationCostAuthority_ReclamationAgreement_ReclamationAgreementID_TenantID foreign key (ReclamationAgreementID, TenantID) references dbo.ReclamationAgreement(ReclamationAgreementID, TenantID)
dbo	Person	PersonID	dbo	ReclamationDeliverable	PersonID	True		alter table dbo.ReclamationDeliverable add constraint FK_ReclamationDeliverable_Person_PersonID_TenantID foreign key (PersonID, TenantID) references dbo.Person(PersonID, TenantID)
dbo	ReclamationAgreement	ReclamationAgreementID	dbo	ReclamationStagingCostAuthorityAgreement	AgreementID	True		alter table dbo.ReclamationStagingCostAuthorityAgreement add constraint FK_ReclamationStagingCostAuthorityAgreement_ReclamationAgreement_AgreementID_TenantID foreign key (AgreementID, TenantID) references dbo.ReclamationAgreement(ReclamationAgreementID, TenantID)
dbo	Person	PersonID	dbo	ReleaseNote	CreatePersonID	False		alter table dbo.ReleaseNote add constraint FK_ReleaseNote_Person_CreatePersonID_TenantID foreign key (CreatePersonID, TenantID) references dbo.Person(PersonID, TenantID)
dbo	Person	PersonID	dbo	ReleaseNote	UpdatePersonID	True		alter table dbo.ReleaseNote add constraint FK_ReleaseNote_Person_UpdatePersonID_TenantID foreign key (UpdatePersonID, TenantID) references dbo.Person(PersonID, TenantID)
